B,B,B,BR,W,W,U,U,U,U,U,W,W,C,C,C,C
B,B,B,B,W,W,U,U,U,U,U,W,W,C,C,C,C
B,B,B,B,W,W,U,U,U,U,U,W,W,C,C,C,C
B,B,BD,B,W,W,W,U,UD,U,W,W,W,W,C,CD,C
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
AU,A,A,A,W,W,K,K,K,K,K,W,W,S,S,SU,S
A,A,A,AR,W,W,K,K,K,K,K,W,W,SL,S,S,S
A,A,A,A,W,W,K,K,K,K,K,W,W,SL,S,S,S
A,A,A,W,W,W,K,K,K,K,K,W,W,S,S,S,S
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
Y,YU,Y,Y,W,W,W,W,MU,MU,W,W,W,G,GU,GU,G
Y,Y,Y,Y,W,W,W,M,M,M,M,W,W,G,G,G,G
Y,Y,Y,YR,W,W,W,M,M,M,M,W,W,G,G,G,G
Y,Y,Y,Y,W,W,MU,M,M,M,M,W,W,GL,G,G,G
